armenian,phonetic
"փառք","clb."
"հօր","dér"
"որդւոյ","asdvadz"
"հոգւոյն","mér"
"սրբոյ","voro"
"այժմ","garoghootyoonût"
"ﬕշտ","ankûnin"
"յաւիտեանս","yév"
"յաւիտենից։","parkût"
"քհն.","clb."
"տաճարս","dajarûs"
"այս","ays"
"սուրբ:","soorp."
"արա","yév"
"ընդ","ara"
"ընդ","ûnt"
"աղօթակիցս","méz"
"առատապէս","yév"
"զողորմութիւն","ûnt"
"զգթութիւն:","aghotagitsûs"
"քեզ","mér"
"վայել","aradabés"
"փառք","clb."
"իշխանութիւն","garoghootyoon"
"պատիւ","yév"
"այժմ","zorootyoon"
"ﬕշտ","yév"
"յաւիտեանս","park"
"յաւիտենից։","havidyans."
"ամէն:","amén."
"շարական","dcn."
"ճաշու","broskhoomé."
"քհն.","chr."
"կարողութիւն","soorp"
"զօրութիւն","asdvadz"
"փառք","soorp"
"յաւիտեանս։","yév"
"ամէն:","hûzor"
"սրկ.","soorp"
"պռօսխումէ:","yév"
"դպր.","anmah"
"սուրբ","vor"
"աստուած","haryar"
"սրկ.","dcn."
"եւըս","yév"
"խաղաղութեան","yévûs"
"զտէր","khaghaghootyan"
"աղաչեսցուք:","ûzdér"
"դպր.","aghachéstsook."
"տէր","chr."
"ողորﬔա:","dér"
"սրկ.","voghormya."
"վասըն","dcn."
"խաղաղութեան","vasûn"
"աﬔնայն","khaghaghootyan"
"աշխարհի","aménayn"
"հաստատութեան","ashkharhi"
"սըրբոյ","yév"
"եկեղեցւոյ","hasdadootyan"
"ըզտէր","sûrpo"
"աղաչեսցուք:","chr."
"դպր.","dér"
"տէր","voghormya."
"ողորﬔա:","dcn."
"սրկ.","vasn"
"վասն","aménayn"
"աﬔնայն","soorp"
"սուրբ","yév"
"ուղղափառ","ooghghapar"
"եպիսկոպոսաց","yébisgobosats"
"ըզտէր","ûzdér"
"աղաչեսցուք։","chr."
"դպր.","dér"
"տէր","voghormya."
"ողորﬔա։","chr."
"սրկ.","dér"
"վասըն","voghormya."
"հայրապետին","hishya"
"ﬔրոյ","dér"
"տեառըն","yév"
"տեառըն","voghormya."
"(այս","dér"
"անուն)","voghormya."
"սրբազնագոյն","kéz"
"քհն.","clb."
"ողորմած","voghormadz"
"մարդասէր","yév"
"աստուած","martasér"
"գոլով","asdvadz"
"քեզ","kolov"
"վայել","yév"
